id,title,organization,prefecture,category,label_category,salary2,monthly_salary_yen,work_day,neccessary_capacity,support_system,other,work_location,people_number,application_period,detail_url
67653,【地域のお困りごとバスター求む！】長野市で中山間地域の課題に取り組む方を募集します！【令和9年1月採用】,長野県 長野市,長野県,"環境,地域づくり","協力隊,おためし",20万円以上,220000,週5日以上,なし,"活動中の住居に関する支援あり,活動中の備品･消耗品に関する支援あり,活動中の移動手段に関する支援あり,活動に関する研修制度あり,活動終了後の定住定着に向けた支援あり,起業に関する支援あり","学生歓迎,未経験者歓迎,副業/兼業可能",信州新町地区：長野市信州新町支所,"１名
※応募できるのは、ひとり１地区までとします",2026-06-24 00:00,https://www.iju-join.jp/cgi-bin/recruit.php/9/detail/67653
67791,【募集中　魚沼市】定着率80％！村のファンを増やす仕掛け人募集,新潟県 魚沼市,新潟県,"農林水産・産業,地域づくり",協力隊,20万円以上,200000,不定期または応相談,あり,"活動中の住居に関する支援あり,活動中の備品･消耗品に関する支援あり,活動中の移動手段に関する支援あり,活動に関する研修制度あり,活動終了後の定住定着に向けた支援あり,起業に関する支援あり","未経験者歓迎,副業/兼業可能",福山体育館内「ほこん処」に机を置き、ここを拠点に活動していただきます。,１名,2026-07-01 00:00,https://www.iju-join.jp/cgi-bin/recruit.php/9/detail/67791
68983,令和８年度三木町地域おこし協力隊の募集について,香川県 三木町,香川県,"観光,情報通信,地域づくり,空き家",協力隊,20万円以上,291000,週5日以上,あり,"活動中の住居に関する支援あり,活動中の備品･消耗品に関する支援あり,活動中の移動手段に関する支援あり,活動に関する研修制度あり,活動終了後の定住定着に向けた支援あり,起業に関する支援あり","未経験者歓迎,副業/兼業可能",◎移住定住促進に関する業務　三木町役場地域活性課,"募集定員
　◎移住定住促進に関する業務　１名
※募集期間中であっても採用が決定し次第、募集を終了いたします。",2026-04-06 00:00,https://www.iju-join.jp/cgi-bin/recruit.php/9/detail/68983
69492,未経験歓迎！かんざきの「ひと」と「暮らし」を発信しよう！！「移住コンシェルジュ」募集,佐賀県 神埼市,佐賀県,"観光,情報通信,地域づくり,空き家",協力隊,20万円以上,210000,週3～4日,あり,"活動中の住居に関する支援あり,活動中の備品･消耗品に関する支援あり,活動中の移動手段に関する支援あり,活動に関する研修制度あり,活動終了後の定住定着に向けた支援あり,起業に関する支援あり,その他特別の支援制度あり",未経験者歓迎,神埼市役所　総務企画部　移住・定住推進課,1名,2026-06-10 00:00,https://www.iju-join.jp/cgi-bin/recruit.php/9/detail/69492
67987,【令和８年度採用】コミュニティセンター城里で活動する地域おこし協力隊を募集します,茨城県 城里町,茨城県,その他,協力隊,20万円以上,259400,週3～4日,あり,"活動中の住居に関する支援あり,活動中の備品･消耗品に関する支援あり,活動中の移動手段に関する支援あり,活動に関する研修制度あり","未経験者歓迎,副業/兼業可能","城里町内
※イベント参加時などの際には、町外での活動もあります。",１名,2026-03-02 00:00,https://www.iju-join.jp/cgi-bin/recruit.php/9/detail/67987
69686,フィールドは高野・山麓エリア！「ここ、住みたい！！」を増やすお仕事,和歌山県,和歌山県,"観光,地域づくり","協力隊,おためし",20万円以上,266000,週3～4日,あり,"活動中の住居に関する支援あり,活動中の備品･消耗品に関する支援あり,活動中の移動手段に関する支援あり",副業/兼業可能,"勤務地の定めはありません。
活動地は高野・山麓エリア（橋本市、かつらぎ町、九度山町、高野町）です。
※業務の都合により、管外・県外で活動してもらう可能性があります。",１名,2026-07-01 00:00,https://www.iju-join.jp/cgi-bin/recruit.php/9/detail/69686
69559,【北海道訓子府町】「日本一、継ぎたくなる町」を一緒につくる地域おこし協力隊を募集します,北海道 訓子府町,北海道,"農林水産・産業,観光,教育,地域づくり","協力隊,インターン,おためし",20万円以上,285000,週5日以上,あり,"活動中の住居に関する支援あり,活動中の備品･消耗品に関する支援あり,活動中の移動手段に関する支援あり,活動に関する研修制度あり,活動終了後の定住定着に向けた支援あり,起業に関する支援あり",未経験者歓迎,北海道常呂郡訓子府町内の事業拠点,５名,2026-05-01 00:00,https://www.iju-join.jp/cgi-bin/recruit.php/9/detail/69559
69581,【訓子府町】農業の現場で学び、地域農業の担い手へ。農業法人受入型の協力隊募集,北海道 訓子府町,北海道,農林水産・産業,協力隊,20万円以上,250000,週5日以上,あり,"活動中の住居に関する支援あり,活動中の備品･消耗品に関する支援あり,活動中の移動手段に関する支援あり,活動に関する研修制度あり,活動終了後の定住定着に向けた支援あり,起業に関する支援あり",未経験者歓迎,農事組合法人高園第二生産組合の法人敷地内及び法人が指定する農業地,１名,2026-05-01 00:00,https://www.iju-join.jp/cgi-bin/recruit.php/9/detail/69581
67964,富士山×地域おこし！新施設のスタートを一緒に盛り上げてくれる仲間募集！応募は7/31まで,山梨県 富士吉田市,山梨県,"観光,地域づくり",協力隊,20万円以上,260000,週5日以上,あり,"活動中の住居に関する支援あり,活動終了後の定住定着に向けた支援あり,起業に関する支援あり",未経験者歓迎,"道の駅富士吉田（山梨県富士吉田市）
ふじよしだ ふるさとファクトリー内
※オープンまでは市役所ふるさと納税担当執務室",1名,2026-04-01 00:00,https://www.iju-join.jp/cgi-bin/recruit.php/9/detail/67964
69375,小さな町の未来を拓く、地域サービスの事業化,新潟県 出雲崎町,新潟県,"農林水産・産業,環境,医療・福祉,観光,教育,情報通信,地域づくり,スポーツ,空き家,その他",協力隊,20万円以上,241793,週5日以上,あり,"活動中の住居に関する支援あり,活動中の備品･消耗品に関する支援あり,活動中の移動手段に関する支援あり,活動に関する研修制度あり,活動終了後の定住定着に向けた支援あり","未経験者歓迎,副業/兼業可能","・活動エリアは町内全域となります。
・事務所スペースとしては、町役場を想定。",出雲崎町地域おこし協力隊（出雲崎の「よろず屋」）:１名,2026-05-29 00:00,https://www.iju-join.jp/cgi-bin/recruit.php/9/detail/69375
69333,東北一人口の少ない町で陶芸を活用した地域おこしをしてみませんか？【宮城県・七ヶ宿町】,宮城県 七ヶ宿町,宮城県,"観光,地域づくり,その他",協力隊,20万円以上,220000,週5日以上,あり,"活動中の住居に関する支援あり,活動中の備品･消耗品に関する支援あり",未経験者歓迎,"無限陶房
〒989‐0531
宮城県刈田郡七ヶ宿町字貒11‐4
※イベントや研修など勤務地以外で活動する場合があります。",若干名,2026-07-06 00:00,https://www.iju-join.jp/cgi-bin/recruit.php/9/detail/69333
69279,東北一人口の少ない町をあなたの力で盛り上げませんか？【宮城県・七ヶ宿町】,宮城県 七ヶ宿町,宮城県,"観光,地域づくり,その他",協力隊,20万円以上,240000,週5日以上,あり,"活動中の住居に関する支援あり,活動中の備品･消耗品に関する支援あり",未経験者歓迎,"七ヶ宿町観光協会
〒989‐0592
宮城県刈田郡七ヶ宿町字関126　七ヶ宿町役場3階　ふるさと振興課内
※イベントや研修など勤務地以外で活動する場合があります。",若干名,2026-07-06 00:00,https://www.iju-join.jp/cgi-bin/recruit.php/9/detail/69279
66605,観光交流施設の運営を一緒に行う協力隊を募集します【宮城県七ヶ宿町】,宮城県 七ヶ宿町,宮城県,"観光,地域づくり,その他",協力隊,20万円以上,240000,週5日以上,あり,"活動中の住居に関する支援あり,活動中の備品･消耗品に関する支援あり",未経験者歓迎,"七ヶ宿まちづくり株式会社が運営する町内施設です。

※研修・イベント等のため勤務地以外で活動する場合があります。",若干名,2026-07-06 00:00,https://www.iju-join.jp/cgi-bin/recruit.php/9/detail/66605
65844,地域資源をつかった新規事業の立ち上げに取り組む協力隊を募集,新潟県 柏崎市,新潟県,"農林水産・産業,地域づくり,その他","協力隊,おためし",20万円以上,210000,週5日以上,あり,"活動中の住居に関する支援あり,活動中の備品･消耗品に関する支援あり,活動中の移動手段に関する支援あり,活動に関する研修制度あり,活動終了後の定住定着に向けた支援あり,起業に関する支援あり",未経験者歓迎,"・別俣地域（旧別俣小学校：柏崎市久米1089-2）
・特定非営利活動法人ａｉｓａ事務所（柏崎市東本町２丁目７番４２号または柏崎市西本町３丁目２番８号）",１名,2026-04-01 00:00,https://www.iju-join.jp/cgi-bin/recruit.php/9/detail/65844
68355,【石川県七尾市】日本で唯一、自然と舞台が一体となった演劇専用ホールで地域文化の発信に取り組みませんか？,石川県 七尾市,石川県,"情報通信,地域づくり,その他",協力隊,20万円以上,260000,週5日以上,あり,"活動中の住居に関する支援あり,活動中の備品･消耗品に関する支援あり,活動中の移動手段に関する支援あり,活動に関する研修制度あり,活動終了後の定住定着に向けた支援あり","未経験者歓迎,副業/兼業可能","活動場所：七尾市中島文化センター（能登演劇堂）
受入課：産業文化スポーツ部文化スポーツ課",1名,2026-07-01 00:00,https://www.iju-join.jp/cgi-bin/recruit.php/9/detail/68355
66175,【石川県七尾市】能登半島唯一のスキー場を核に自然体験プログラムを企画しませんか？,石川県 七尾市,石川県,"教育,情報通信,地域づくり,スポーツ",協力隊,20万円以上,260000,週5日以上,あり,"活動中の住居に関する支援あり,活動中の備品･消耗品に関する支援あり,活動中の移動手段に関する支援あり,活動に関する研修制度あり,起業に関する支援あり","学生歓迎,未経験者歓迎,副業/兼業可能","活動場所：ふれあいセンター山びこ荘
受入課：七尾市教育委員会生涯学習文化財課",1名,2026-07-01 00:00,https://www.iju-join.jp/cgi-bin/recruit.php/9/detail/66175
60164,【くじゅう連山の麓　九重町】地域住民とともに町おこし～お互いさまが響きあう町へ～地域の支えあいをあなたの手で作ってみませんか？,大分県 九重町,大分県,"環境,観光,地域づくり,その他",協力隊,10万円～20万円未満,180000,週5日以上,あり,"活動中の住居に関する支援あり,活動中の備品･消耗品に関する支援あり,活動中の移動手段に関する支援あり,活動に関する研修制度あり,活動終了後の定住定着に向けた支援あり,起業に関する支援あり","未経験者歓迎,副業/兼業可能",,,2026-06-22 00:00,https://www.iju-join.jp/cgi-bin/recruit.php/9/detail/60164
69053,【くじゅう連山の麓　九重町】野矢地域の魅力向上・新たなつながりを地域の皆さんと作ってみませんか?,大分県 九重町,大分県,地域づくり,協力隊,10万円～20万円未満,180000,週5日以上,あり,,,野矢坂上地区公民館（大分県玖珠郡九重町大字野上3465番地の1）,,2026-06-22 00:00,https://www.iju-join.jp/cgi-bin/recruit.php/9/detail/69053
69705,【くじゅう連山の麓　九重町】牛を育てながら、自分の未来も育ててみませんか？ ～畜産ヘルパー募集～,大分県 九重町,大分県,農林水産・産業,協力隊,指定しない,180000,週5日以上,あり,"活動中の住居に関する支援あり,活動中の備品･消耗品に関する支援あり,活動中の移動手段に関する支援あり,活動に関する研修制度あり,活動終了後の定住定着に向けた支援あり,起業に関する支援あり",,,,2026-07-01 00:00,https://www.iju-join.jp/cgi-bin/recruit.php/9/detail/69705
20737,日本三大NEGI「下仁田ねぎ」の後継者求む！,群馬県 下仁田町,群馬県,農林水産・産業,協力隊,20万円以上,290000,週5日以上,あり,"活動中の住居に関する支援あり,活動中の備品･消耗品に関する支援あり,活動中の移動手段に関する支援あり,活動に関する研修制度あり,起業に関する支援あり","未経験者歓迎,副業/兼業可能",下仁田町内,１名,2026-07-01 00:00,https://www.iju-join.jp/cgi-bin/recruit.php/9/detail/20737
64849,森林を守り育て、後世に継ぐ若い力を募集！,群馬県 下仁田町,群馬県,農林水産・産業,協力隊,20万円以上,290000,週5日以上,あり,"活動中の住居に関する支援あり,活動中の備品･消耗品に関する支援あり,活動中の移動手段に関する支援あり,活動に関する研修制度あり,起業に関する支援あり","未経験者歓迎,副業/兼業可能",下仁田町森林組合（下仁田町大字下小坂45-7）,１名,2026-07-01 00:00,https://www.iju-join.jp/cgi-bin/recruit.php/9/detail/64849
